trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",25,0,-63.69086410902307,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.9950041652780257}",25,0,-107.02301073223933,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.9800665778412416}",25,0,-149.89468263849767,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.955336489125606}",25,0,-79.77583416415621,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.9210609940028851}",20,0,-84.10098413132872,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.8775825618903728}",30,15,-26.442847406252838,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.1, 'e': 0.8253356149096782}",30,0,-44.637094146744175,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.7648421872844884}",30,0,-97.22138005521015,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.6967067093471655}",25,0,-47.223725619592365,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.6216099682706645}",25,0,-103.70666965956039,"{0: 15, 1: 6, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.5403023058681398}",25,7,-50.79888639435136,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 0}",1
12,False,"{'a': 0.1, 'e': 0.4535961214255773}",20,0,-105.0943161235156,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.3623577544766734}",20,10,8.438887265574916,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.26749882862458735}",20,0,-5.25782629411639,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.16996714290024081}",30,3,6.574108812132224,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.0707372016677029}",20,0,13.47039964130772,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
