trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-100,-607.4320467014763,"{0: 75, 1: 15, 2: 24, 3: 2, 4: 9}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-89,-556.9878241002632,"{0: 60, 1: 17, 2: 22, 3: 3, 4: 7}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,-55,-381.05593141640486,"{0: 51, 1: 11, 2: 16, 3: 2, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-553.0210235802418,"{0: 73, 1: 13, 2: 31, 3: 2, 4: 6}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,-9,-216.4125173425619,"{0: 23, 1: 9, 2: 9, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-80,-604.1722819191931,"{0: 57, 1: 13, 2: 18, 3: 2, 4: 10}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-100,-473.74447521465737,"{0: 69, 1: 23, 2: 21, 3: 2, 4: 5}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-33,-152.67179136598108,"{0: 41, 1: 3, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,-78,-446.7295750929011,"{0: 59, 1: 12, 2: 24, 3: 4, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.14161732705614,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,-81,-549.5857804890343,"{0: 63, 1: 13, 2: 19, 3: 3, 4: 8}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-60,-482.84644293426896,"{0: 45, 1: 8, 2: 15, 3: 6, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-100,-777.7639527594242,"{0: 65, 1: 17, 2: 28, 3: 5, 4: 10}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-72,-544.5023492379446,"{0: 54, 1: 9, 2: 15, 3: 6, 4: 8}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-62,-478.23587872243303,"{0: 47, 1: 11, 2: 21, 3: 2, 4: 6}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-7,-282.0635860577747,"{0: 13, 1: 4, 2: 10, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-100,-589.0369496765355,"{0: 75, 1: 10, 2: 28, 3: 6, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-94,-796.21644520844,"{0: 62, 1: 14, 2: 21, 3: 4, 4: 13}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-97,-643.2186001510374,"{0: 64, 1: 10, 2: 32, 3: 4, 4: 7}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,-15,-250.1386669870565,"{0: 25, 1: 6, 2: 7, 3: 5, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-823.307032391919,"{0: 63, 1: 15, 2: 23, 3: 8, 4: 11}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-100,-625.8978354228658,"{0: 70, 1: 14, 2: 29, 3: 6, 4: 6}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-619.9662565250283,"{0: 66, 1: 10, 2: 34, 3: 4, 4: 6}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,15,-47.632570791136565,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,-66,-518.7247840356947,"{0: 49, 1: 12, 2: 25, 3: 6, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,-82,-732.1931121202743,"{0: 67, 1: 8, 2: 19, 3: 6, 4: 12}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-53,-421.52795622072983,"{0: 43, 1: 11, 2: 15, 3: 4, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-24,-127.43985653207446,"{0: 30, 1: 7, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,-100,-913.5773190649378,"{0: 64, 1: 21, 2: 27, 3: 5, 4: 13}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-100,-712.6551607319965,"{0: 69, 1: 16, 2: 24, 3: 8, 4: 8}",0
